,,,,,,,,,,,,
,,,"MAIN TODO: figure out how to sort non-slot boons into ""requires tier 1"" / ""does not require tier 1"" while still maintaining some logic of existing categories",,,,,,,,,
,,,Zeus,Poseidon,Athena,Ares,Artemis,Aphrodite,Dionysus,Demeter,Hermes,Chaos
,SLOTS,Attack,Lightning Strike,Tempest Strike,Divine Strike,Curse of Agony,Deadly Strike,Heartbreak Strike,Drunken Strike,Frost Strike,Swift Strike,Strike
,,,emits chain-lightning (4) when you damage a foe,"more damage and
knock foes away",more damage and deflects,inflicts doom (1.1s),"more damage
+15% chance to crit",more damage and inflict weak (-30% attack for 4s),"inflicts hangover (stack 5,
damage every 0.5s for 4s)","more damage and chill
(4% slow for 8s, stack 10)",your attack is faster,your attack deals more damage
,,common,10,+30%,+30%,50,+20%,+50%,4,+40%,+12.5%,15-25%
,,rare,12.5,+45%,+45%,75,+30%,+75%,5,+60%,+21.25%,16-37.5%
,,epic,15,+50%,+50%,100,+40%,+100%,6,+80%,+30%,24-50%
,,heroic,20,+75%,+75%,125,+50%,+125%,8,+100%,+38.75%,n/a
,,Special,Thunder Flourish,Tempest Flourish,Divine Flourish,Curse of Pain,Deadly Flourish,Heartbreah Flourish,Drunken Flourish,Frost Flourish,Swift Flourish,Flourish
,,,causes a lightning bolt to strike nearby foes,"more damage and
knock foes away",more damage and deflects,inflicts doom (1.1s),"more damage
+20% chance to crit",more damage and inflict weak (-30% attack for 4s),"inflicts hangover (stack 5,
damage every 0.5s for 4s)","more damage and chill
(4% slow for 8s, stack 10)",your special is faster,your special deals more damage
,,common,30,+70%,+60%,60,+40%,+80%,5,+60%,+12.5%,20-35%
,,rare,37.5,+105%,+90%,80,+60%,+120%,6,+90%,+21.25%,22-52.5%
,,epic,45,+105%,+120%,100,+80%,+160%,7,+120%,+30%,32-70%
,,heroic,60,+175%,+150%,120,+100%,+200%,8,+150%,+38.75%,n/a
,,Cast,Electric Shot,Flood Shot,Phalanx Shot,Slicing Shot,True Shot,Crush Shot,Trippy Shot,Crystal Beam,Flurry Cast,Shot
,,,burst of chain-lightning (5) that bounces between foes,"damages foes in an area and
knocks them away","damages foes in an area
and deflects","sends a blade rift
(damage every 0.1s for 4s)
does not lodge into enemy",fire an unblockable seeking arrow with 10% crit chance,"wide, short-range blast
that inflicts weak","lobs a projectile that bursts into festive fog
does not lodge into enemy","crystal that fires a beam (damage every 0.2s for 5s)
does not lodge into enemy",your cast is faster and fully automatic,your cast deals more damage
,,common,60,60,85,10,70,90,100,8,+20%,15-25%
,,rare,72,72,102,11,80,99,120,9.2,+40%,16-37.5%
,,epic,84,84,119,13,90,108,140,10.4,+60%,24-50%
,,heroic,96,96,136,14,100,117,160,11.6,+80%,n/a
,,Dash,Thunder Dash,Tidal Dash,Divine Dash,Blade Dash,Hunter Dash,Passion Dash,Drunken Dash,Mistral Dash,Greatest Reflex,Lunge
,,,causes a lightning bolt to strike nearby foes,"damages foes in an area and
knocks them away",deals damage and deflects,create a blade rift at start (damage every 0.1s for 0.7s),dash-strike deals more damage,"inflict damage and weak
at end of dash","inflicts hangover (stack 5,
damage every 0.5s for 4s)",shoot a gust ahead that inflicts chill,dash more times in a row,your dash-attack deals more damage
,,common,10,35,10,5,+50%,20,2,15,+1,20-35%
,,rare,13.3,42,12,6,+75%,24,3,22.5,+2,22-52.5%
,,epic,16.6,49,14,7,+100%,28,4,30,+3,32-70%
,,heroic,20,56,16,8,+125%,32,5,37.5,+4,n/a
,,Call,Zeus's Aid,Poseidon's Aid,Athena's Aid,Ares' Aid,Artemis's Aid,Aphrodite's Aid,Dionysus's Aid,Demeter's Aid,Second Wind,
